fetched_at,team_id,odds_decimal
2026-06-20T14:52:31+00:00,FRA,5.0
2026-06-20T14:52:31+00:00,ENG,7.4
2026-06-20T14:52:31+00:00,ESP,7.6
2026-06-20T14:52:31+00:00,ARG,10.5
2026-06-20T14:52:31+00:00,POR,14.5
2026-06-20T14:52:31+00:00,BRA,16.5
2026-06-20T14:52:31+00:00,GER,17.0
2026-06-20T14:52:31+00:00,NED,27.0
2026-06-20T14:52:31+00:00,USA,40.0
2026-06-20T14:52:31+00:00,MAR,40.0
2026-06-20T14:52:31+00:00,NOR,46.0
2026-06-20T14:52:31+00:00,BEL,55.0
2026-06-20T14:52:31+00:00,JPN,70.0
2026-06-20T14:52:31+00:00,COL,70.0
2026-06-20T14:52:31+00:00,MEX,80.0
2026-06-20T14:52:31+00:00,SUI,130.0
2026-06-20T14:52:31+00:00,SEN,170.0
2026-06-20T14:52:31+00:00,URU,200.0
2026-06-20T14:52:31+00:00,CRO,200.0
2026-06-20T14:52:31+00:00,AUS,210.0
2026-06-20T14:52:31+00:00,SWE,210.0
2026-06-20T14:52:31+00:00,AUT,240.0
2026-06-20T14:52:31+00:00,CAN,280.0
2026-06-20T14:52:31+00:00,CIV,310.0
2026-06-20T14:52:31+00:00,EGY,470.0
2026-06-20T14:52:31+00:00,KOR,490.0
2026-06-20T14:52:31+00:00,ECU,900.0
2026-06-20T14:52:31+00:00,SCO,900.0
2026-06-20T14:52:31+00:00,GHA,940.0
2026-06-20T14:52:31+00:00,PAR,980.0
2026-06-20T14:52:31+00:00,ALG,1000.0
2026-06-20T14:52:31+00:00,TUN,1000.0
2026-06-20T14:52:31+00:00,IRN,1000.0
2026-06-20T14:52:31+00:00,SAU,1000.0
2026-06-20T14:52:31+00:00,CZE,1000.0
2026-06-20T14:52:31+00:00,COD,1000.0
2026-06-20T14:52:31+00:00,NZL,1001.0
2026-06-20T14:52:31+00:00,CPV,1001.0
2026-06-20T14:52:31+00:00,RSA,1001.0
2026-06-20T14:52:31+00:00,UZB,1501.0
2026-06-20T14:52:31+00:00,IRQ,1501.0
2026-06-20T14:52:31+00:00,PAN,1501.0
2026-06-20T14:52:31+00:00,JOR,2001.0
2026-06-20T14:52:31+00:00,CUW,2001.0
2026-06-20T14:52:31+00:00,QAT,2501.0
2026-06-30T14:47:00+00:00,FRA,3.75
2026-06-30T14:47:00+00:00,ARG,5.2
2026-06-30T14:47:00+00:00,ESP,8.8
2026-06-30T14:47:00+00:00,ENG,9.2
2026-06-30T14:47:00+00:00,BRA,13.0
2026-06-30T14:47:00+00:00,POR,17.5
2026-06-30T14:47:00+00:00,MAR,27.0
2026-06-30T14:47:00+00:00,COL,38.0
2026-06-30T14:47:00+00:00,USA,40.0
2026-06-30T14:47:00+00:00,NOR,55.0
2026-06-30T14:47:00+00:00,MEX,65.0
2026-06-30T14:47:00+00:00,BEL,75.0
2026-06-30T14:47:00+00:00,SUI,130.0
2026-06-30T14:47:00+00:00,SEN,160.0
2026-06-30T14:47:00+00:00,ECU,170.0
2026-06-30T14:47:00+00:00,CRO,280.0
2026-06-30T14:47:00+00:00,CIV,290.0
2026-06-30T14:47:00+00:00,CAN,340.0
2026-06-30T14:47:00+00:00,SWE,460.0
2026-06-30T14:47:00+00:00,PAR,500.0
2026-06-30T14:47:00+00:00,EGY,550.0
2026-06-30T14:47:00+00:00,AUT,580.0
2026-06-30T14:47:00+00:00,AUS,680.0
2026-06-30T14:47:00+00:00,GHA,800.0
2026-06-30T14:47:00+00:00,ALG,910.0
2026-06-30T14:47:00+00:00,CPV,1000.0
2026-06-30T14:47:00+00:00,COD,1000.0
2026-07-01T09:44:20+00:00,FRA,3.1
2026-07-01T09:44:20+00:00,ARG,5.6
2026-07-01T09:44:20+00:00,ESP,9.6
2026-07-01T09:44:20+00:00,ENG,9.8
2026-07-01T09:44:20+00:00,BRA,14.0
2026-07-01T09:44:20+00:00,POR,18.0
2026-07-01T09:44:20+00:00,MAR,38.0
2026-07-01T09:44:20+00:00,COL,38.0
2026-07-01T09:44:20+00:00,USA,42.0
2026-07-01T09:44:20+00:00,MEX,42.0
2026-07-01T09:44:20+00:00,NOR,60.0
2026-07-01T09:44:20+00:00,BEL,80.0
2026-07-01T09:44:20+00:00,SUI,130.0
2026-07-01T09:44:20+00:00,SEN,170.0
2026-07-01T09:44:20+00:00,CRO,300.0
2026-07-01T09:44:20+00:00,CAN,520.0
2026-07-01T09:44:20+00:00,EGY,600.0
2026-07-01T09:44:20+00:00,PAR,640.0
2026-07-01T09:44:20+00:00,AUS,640.0
2026-07-01T09:44:20+00:00,GHA,750.0
2026-07-01T09:44:20+00:00,AUT,800.0
2026-07-01T09:44:20+00:00,ALG,1000.0
2026-07-01T09:44:20+00:00,CPV,1000.0
2026-07-01T09:44:20+00:00,COD,1000.0
2026-07-02T08:55:32+00:00,FRA,3.0
2026-07-02T08:55:32+00:00,ARG,5.6
2026-07-02T08:55:32+00:00,ESP,9.4
2026-07-02T08:55:32+00:00,ENG,12.0
2026-07-02T08:55:32+00:00,BRA,14.5
2026-07-02T08:55:32+00:00,POR,19.0
2026-07-02T08:55:32+00:00,MEX,36.0
2026-07-02T08:55:32+00:00,COL,36.0
2026-07-02T08:55:32+00:00,USA,38.0
2026-07-02T08:55:32+00:00,MAR,40.0
2026-07-02T08:55:32+00:00,NOR,55.0
2026-07-02T08:55:32+00:00,BEL,60.0
2026-07-02T08:55:32+00:00,SUI,150.0
2026-07-02T08:55:32+00:00,CRO,310.0
2026-07-02T08:55:32+00:00,CAN,500.0
2026-07-02T08:55:32+00:00,EGY,600.0
2026-07-02T08:55:32+00:00,AUT,610.0
2026-07-02T08:55:32+00:00,AUS,640.0
2026-07-02T08:55:32+00:00,PAR,780.0
2026-07-02T08:55:32+00:00,GHA,800.0
2026-07-02T08:55:32+00:00,ALG,980.0
2026-07-02T08:55:32+00:00,CPV,1000.0
2026-07-03T09:17:21+00:00,FRA,3.05
2026-07-03T09:17:21+00:00,ARG,5.7
2026-07-03T09:17:21+00:00,ESP,7.6
2026-07-03T09:17:21+00:00,ENG,12.5
2026-07-03T09:17:21+00:00,BRA,14.5
2026-07-03T09:17:21+00:00,POR,17.5
2026-07-03T09:17:21+00:00,MEX,36.0
2026-07-03T09:17:21+00:00,COL,38.0
2026-07-03T09:17:21+00:00,USA,40.0
2026-07-03T09:17:21+00:00,MAR,44.0
2026-07-03T09:17:21+00:00,NOR,55.0
2026-07-03T09:17:21+00:00,BEL,85.0
2026-07-03T09:17:21+00:00,SUI,100.0
2026-07-03T09:17:21+00:00,CAN,500.0
2026-07-03T09:17:21+00:00,AUS,630.0
2026-07-03T09:17:21+00:00,GHA,810.0
2026-07-03T09:17:21+00:00,EGY,900.0
2026-07-03T09:17:21+00:00,PAR,950.0
2026-07-03T09:17:21+00:00,CPV,1000.0
2026-07-04T08:36:20+00:00,FRA,3.05
2026-07-04T08:36:20+00:00,ARG,6.2
2026-07-04T08:36:20+00:00,ESP,7.6
2026-07-04T08:36:20+00:00,ENG,13.0
2026-07-04T08:36:20+00:00,BRA,14.5
2026-07-04T08:36:20+00:00,POR,17.0
2026-07-04T08:36:20+00:00,COL,32.0
2026-07-04T08:36:20+00:00,MEX,34.0
2026-07-04T08:36:20+00:00,USA,42.0
2026-07-04T08:36:20+00:00,MAR,42.0
2026-07-04T08:36:20+00:00,NOR,60.0
2026-07-04T08:36:20+00:00,BEL,80.0
2026-07-04T08:36:20+00:00,SUI,110.0
2026-07-04T08:36:20+00:00,CAN,510.0
