date,home_team_id,away_team_id,odds_home,odds_draw,odds_away
2026-06-20,GER,CIV,1.533,4.8,6.4
2026-06-20,NED,SWE,1.75,4.1,5.1
2026-06-21,BEL,IRN,1.45,4.8,8.5
2026-06-21,ECU,CUW,1.15,11.0,26.0
2026-06-21,ESP,SAU,1.125,12.0,31.0
2026-06-21,TUN,JPN,7.0,4.1,1.615
2026-06-21,URU,CPV,1.45,4.5,9.5
2026-06-22,ARG,AUT,1.583,4.0,6.0
2026-06-22,FRA,IRQ,1.1,12.0,34.0
2026-06-22,NZL,EGY,6.2,4.3,1.65
2026-06-23,ENG,GHA,1.231,6.5,15.0
2026-06-23,JOR,ALG,6.0,4.1,1.6
2026-06-23,NOR,SEN,2.3,3.5,3.2
2026-06-23,PAN,CRO,6.75,4.1,1.545
2026-06-23,POR,UZB,1.222,7.0,15.5
2026-06-24,BIH,QAT,1.471,5.0,7.5
2026-06-24,COL,COD,1.5,4.333,7.5
2026-06-24,MAR,HAI,1.222,7.0,18.0
2026-06-24,SCO,BRA,9.0,5.25,1.4
2026-06-24,SUI,CAN,2.45,3.2,3.35
2026-06-25,CUW,CIV,23.0,9.5,1.143
2026-06-25,CZE,MEX,3.9,3.8,2.05
2026-06-25,ECU,GER,5.0,3.9,1.7
2026-06-25,JPN,SWE,2.2,3.4,3.5
2026-06-25,RSA,KOR,6.0,3.9,1.667
2026-06-25,TUN,NED,10.75,5.5,1.333
2026-06-26,NOR,FRA,4.4,3.8,1.833
2026-06-26,PAR,AUS,2.82,2.45,3.9
2026-06-26,SEN,IRQ,1.3,5.5,11.5
2026-06-26,TUR,USA,3.2,4.0,2.15
2026-06-27,CPV,SAU,2.8,3.7,2.5
2026-06-27,CRO,GHA,1.64,3.9,6.25
2026-06-27,EGY,IRN,2.1,3.25,4.0
2026-06-27,NZL,BEL,15.0,6.5,1.25
2026-06-27,PAN,ENG,13.0,7.0,1.25
2026-06-27,URU,ESP,6.5,4.5,1.571
