seq,date,home_team_id,away_team_id,team_id,elo
3,2026-06-12,KOR,CZE,JPN,1850.0
3,2026-06-12,KOR,CZE,KOR,1825.5
3,2026-06-12,KOR,CZE,MAR,1898.0
3,2026-06-12,KOR,CZE,MEX,1819.8
3,2026-06-12,KOR,CZE,NED,1975.0
3,2026-06-12,KOR,CZE,NOR,1855.0
3,2026-06-12,KOR,CZE,NZL,1600.0
3,2026-06-12,KOR,CZE,PAN,1735.0
3,2026-06-12,KOR,CZE,PAR,1800.0
3,2026-06-12,KOR,CZE,POR,1989.0
3,2026-06-12,KOR,CZE,QAT,1718.0
3,2026-06-12,KOR,CZE,RSA,1725.2
3,2026-06-12,KOR,CZE,SAU,1702.0
3,2026-06-12,KOR,CZE,SCO,1815.0
3,2026-06-12,KOR,CZE,SEN,1840.0
3,2026-06-12,KOR,CZE,SUI,1858.0
3,2026-06-12,KOR,CZE,SWE,1818.0
3,2026-06-12,KOR,CZE,TUN,1762.0
3,2026-06-12,KOR,CZE,TUR,1845.0
3,2026-06-12,KOR,CZE,URU,1895.0
3,2026-06-12,KOR,CZE,USA,1808.0
3,2026-06-12,KOR,CZE,UZB,1748.0
4,2026-06-13,BRA,MAR,ALG,1790.0
4,2026-06-13,BRA,MAR,ARG,2115.0
4,2026-06-13,BRA,MAR,AUS,1768.0
4,2026-06-13,BRA,MAR,AUT,1820.0
4,2026-06-13,BRA,MAR,BEL,1925.0
4,2026-06-13,BRA,MAR,BIH,1783.6
4,2026-06-13,BRA,MAR,BRA,1973.5
4,2026-06-13,BRA,MAR,CAN,1784.4
4,2026-06-13,BRA,MAR,CIV,1798.0
4,2026-06-13,BRA,MAR,COD,1785.0
4,2026-06-13,BRA,MAR,COL,1888.0
4,2026-06-13,BRA,MAR,CPV,1660.0
4,2026-06-13,BRA,MAR,CRO,1900.0
4,2026-06-13,BRA,MAR,CUW,1400.0
4,2026-06-13,BRA,MAR,CZE,1791.5
4,2026-06-13,BRA,MAR,ECU,1825.0
4,2026-06-13,BRA,MAR,EGY,1808.0
4,2026-06-13,BRA,MAR,ENG,2024.0
4,2026-06-13,BRA,MAR,ESP,2129.0
4,2026-06-13,BRA,MAR,FRA,2063.0
4,2026-06-13,BRA,MAR,GER,1958.0
4,2026-06-13,BRA,MAR,GHA,1758.0
4,2026-06-13,BRA,MAR,HAI,1520.0
4,2026-06-13,BRA,MAR,IRN,1820.0
4,2026-06-13,BRA,MAR,IRQ,1580.0
4,2026-06-13,BRA,MAR,JOR,1730.0
4,2026-06-13,BRA,MAR,JPN,1850.0
4,2026-06-13,BRA,MAR,KOR,1825.5
4,2026-06-13,BRA,MAR,MAR,1902.5
4,2026-06-13,BRA,MAR,MEX,1819.8
4,2026-06-13,BRA,MAR,NED,1975.0
4,2026-06-13,BRA,MAR,NOR,1855.0
4,2026-06-13,BRA,MAR,NZL,1600.0
4,2026-06-13,BRA,MAR,PAN,1735.0
4,2026-06-13,BRA,MAR,PAR,1800.0
4,2026-06-13,BRA,MAR,POR,1989.0
4,2026-06-13,BRA,MAR,QAT,1718.0
4,2026-06-13,BRA,MAR,RSA,1725.2
4,2026-06-13,BRA,MAR,SAU,1702.0
4,2026-06-13,BRA,MAR,SCO,1815.0
4,2026-06-13,BRA,MAR,SEN,1840.0
4,2026-06-13,BRA,MAR,SUI,1858.0
4,2026-06-13,BRA,MAR,SWE,1818.0
4,2026-06-13,BRA,MAR,TUN,1762.0
4,2026-06-13,BRA,MAR,TUR,1845.0
4,2026-06-13,BRA,MAR,URU,1895.0
4,2026-06-13,BRA,MAR,USA,1808.0
4,2026-06-13,BRA,MAR,UZB,1748.0
5,2026-06-13,QAT,SUI,ALG,1790.0
5,2026-06-13,QAT,SUI,ARG,2115.0
5,2026-06-13,QAT,SUI,AUS,1768.0
5,2026-06-13,QAT,SUI,AUT,1820.0
5,2026-06-13,QAT,SUI,BEL,1925.0
5,2026-06-13,QAT,SUI,BIH,1783.6
5,2026-06-13,QAT,SUI,BRA,1973.5
5,2026-06-13,QAT,SUI,CAN,1784.4
5,2026-06-13,QAT,SUI,CIV,1798.0
5,2026-06-13,QAT,SUI,COD,1785.0
5,2026-06-13,QAT,SUI,COL,1888.0
5,2026-06-13,QAT,SUI,CPV,1660.0
5,2026-06-13,QAT,SUI,CRO,1900.0
5,2026-06-13,QAT,SUI,CUW,1400.0
5,2026-06-13,QAT,SUI,CZE,1791.5
5,2026-06-13,QAT,SUI,ECU,1825.0
5,2026-06-13,QAT,SUI,EGY,1808.0
5,2026-06-13,QAT,SUI,ENG,2024.0
5,2026-06-13,QAT,SUI,ESP,2129.0
5,2026-06-13,QAT,SUI,FRA,2063.0
5,2026-06-13,QAT,SUI,GER,1958.0
5,2026-06-13,QAT,SUI,GHA,1758.0
5,2026-06-13,QAT,SUI,HAI,1520.0
5,2026-06-13,QAT,SUI,IRN,1820.0
5,2026-06-13,QAT,SUI,IRQ,1580.0
5,2026-06-13,QAT,SUI,JOR,1730.0
5,2026-06-13,QAT,SUI,JPN,1850.0
5,2026-06-13,QAT,SUI,KOR,1825.5
5,2026-06-13,QAT,SUI,MAR,1902.5
5,2026-06-13,QAT,SUI,MEX,1819.8
5,2026-06-13,QAT,SUI,NED,1975.0
5,2026-06-13,QAT,SUI,NOR,1855.0
5,2026-06-13,QAT,SUI,NZL,1600.0
5,2026-06-13,QAT,SUI,PAN,1735.0
5,2026-06-13,QAT,SUI,PAR,1800.0
5,2026-06-13,QAT,SUI,POR,1989.0
5,2026-06-13,QAT,SUI,QAT,1725.6
5,2026-06-13,QAT,SUI,RSA,1725.2
5,2026-06-13,QAT,SUI,SAU,1702.0
5,2026-06-13,QAT,SUI,SCO,1815.0
5,2026-06-13,QAT,SUI,SEN,1840.0
5,2026-06-13,QAT,SUI,SUI,1850.4
5,2026-06-13,QAT,SUI,SWE,1818.0
5,2026-06-13,QAT,SUI,TUN,1762.0
5,2026-06-13,QAT,SUI,TUR,1845.0
5,2026-06-13,QAT,SUI,URU,1895.0
5,2026-06-13,QAT,SUI,USA,1808.0
5,2026-06-13,QAT,SUI,UZB,1748.0
